system:index,CUENCA,FID_CUENCA,HECTARES,SUBCUENCA,VERTIENTE,mean,month,precip_mm,year
0_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,96.26326215197578,1.0,96.26326215197578,2000.0
0_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,41.35892811854395,1.0,41.35892811854395,2000.0
0_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,110.5324046784423,1.0,110.5324046784423,2000.0
1_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,53.78016883563821,2.0,53.78016883563821,2000.0
1_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,29.25836999093625,2.0,29.25836999093625,2000.0
1_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,70.7888753805814,2.0,70.7888753805814,2000.0
2_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,31.546449529586884,3.0,31.546449529586884,2000.0
2_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,22.903889947841755,3.0,22.903889947841755,2000.0
2_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,50.3544820675693,3.0,50.3544820675693,2000.0
3_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,36.88406022574716,4.0,36.88406022574716,2000.0
3_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,24.79360216832545,4.0,24.79360216832545,2000.0
3_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,23.42257086103024,4.0,23.42257086103024,2000.0
4_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,402.56112805326376,5.0,402.56112805326376,2000.0
4_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,385.5657480681589,5.0,385.5657480681589,2000.0
4_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,292.9969611387678,5.0,292.9969611387678,2000.0
5_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,298.6993336360261,6.0,298.6993336360261,2000.0
